Skew,Kurtosis,b,c,d,_RHS_
0,-1.2,1.357723,1.60E-14,-0.13571,0.000218
0,-1.1,1.276801,7.82E-12,-0.10306,6.46E-13
0,-1,1.221009,1.73E-10,-0.08016,1.16E-13
0,-0.9,1.180385,2.93E-10,-0.06429,4.89E-15
0,-0.8,1.14779,-1.30E-10,-0.05198,7.53E-17
0,-0.7,1.120575,2.39E-12,-0.04196,2.07E-21
0,-0.6,1.097215,1.23E-08,-0.03353,3.61E-14
0,-0.5,1.076733,1.04E-09,-0.02627,1.32E-16
0,-0.4,1.058467,8.65E-11,-0.01988,6.21E-19
0,-0.3,1.481153,2.99E-14,-0.20587,2.14E-23
0,-0.2,1.485966,-9.00E-14,-0.20897,1.59E-25
0,-0.1,1.012939,7.65E-13,-0.00433,3.92E-23
0,0,1,4.48E-10,1.01E-10,1.36E-17
0,0.1,0.987896,1.42E-13,0.004018,1.39E-24
0,0.2,0.976513,2.03E-14,0.007769,2.90E-26
0,0.3,0.965756,1.69E-09,0.011287,2.06E-16
0,0.4,0.955549,2.28E-08,0.014604,3.95E-14
0,0.5,0.945831,9.20E-09,0.017741,6.50E-15
0,0.6,0.936548,3.77E-09,0.020721,1.10E-15
0,0.7,0.927656,1.57E-09,0.023559,1.91E-16
0,0.8,0.919118,6.58E-10,0.02627,3.41E-17
0,0.9,0.910901,1.04E-10,0.028865,9.18E-19
0,1,0.902977,2.38E-11,0.031356,4.98E-20
0,1.1,0.895321,1.05E-11,0.033752,1.00E-20
0,1.2,0.887913,3.17E-12,0.03606,9.33E-22
0,1.3,0.880733,1.59E-14,0.038287,3.08E-26
0,1.4,0.873765,1.60E-08,0.040439,1.89E-13
0,1.5,0.866994,8.94E-09,0.042522,2.54E-13
0,1.6,0.860406,5.10E-09,0.044542,3.69E-13
0,1.7,0.853989,2.98E-09,0.046501,5.43E-13
0,1.8,0.847733,2.06E-09,0.048404,4.84E-16
0,1.9,0.841628,3.49E-10,0.050256,1.28E-17
0,2,0.835665,6.50E-10,0.052057,4.74E-17
0,2.1,0.829835,1.81E-10,0.053813,3.42E-18
0,2.2,0.824133,1.08E-10,0.055525,1.20E-18
0,2.3,0.81855,4.06E-12,0.057196,1.78E-21
0,2.4,0.813081,1.95E-12,0.058828,4.29E-22
0,2.5,0.807719,9.18E-13,0.060423,9.98E-23
